term,doc,tf
измениться,35,0.002174
измениться,36,0.000455
измениться,38,0.001855
измениться,40,0.000525
измениться,41,0.000439
измениться,43,0.000622
измениться,47,0.000856
измениться,51,0.001386
измениться,52,0.000503
измениться,54,0.000544
измениться,56,0.001057
измениться,59,0.001028
измениться,67,0.000685
измениться,70,0.000787
измениться,73,0.001462
измениться,77,0.001901
измениться,8,0.000487
измениться,82,0.000598
измениться,84,0.000525
измениться,88,0.000215
измениться,97,0.000518
изменять,71,0.000317
изменять,74,0.001028
изменяться,19,0.000626
изменяться,25,0.000612
изменяться,28,0.000509
изменяться,37,0.000389
изменяться,79,0.001021
изменяться,8,0.000487
изменяться,95,0.000635
измерение,15,0.000545
измерение,29,0.001255
измерение,31,0.000554
измерение,32,0.000684
измерение,38,0.000618
измерение,67,0.000228
измерение,81,0.001057
измерение,86,0.000463
измерение,90,0.000577
измеримый,15,0.000545
измеримый,2,0.000587
измеримый,38,0.000618
измеритель,25,0.000612
измерить,14,0.000563
измерить,20,0.000574
измерить,29,0.000627
измерить,33,0.000533
измерить,38,0.000618
измерить,46,0.001185
измерить,51,0.000924
измерить,88,0.000215
измерить,92,0.000988
измерить,97,0.001037
измерять,13,0.000481
измерять,29,0.001255
измерять,66,0.000732
изнасилование,63,0.000494
изнасиловать,63,0.000494
изначально,10,0.000955
изначально,15,0.000545
изначально,19,0.000626
изначально,25,0.000612
изначально,31,0.000554
изначально,33,0.000533
изначально,35,0.001087
изначально,36,0.000455
изначально,41,0.000439
изначально,46,0.001185
изначально,47,0.000856
изначально,48,0.000746
изначально,49,0.000493
изначально,5,0.000497
изначально,54,0.001088
изначально,63,0.000494
изначально,66,0.001464
изначально,79,0.00051
изначальный,28,0.000509
изначальный,50,0.001404
изначальный,54,0.000544
изнашиваться,43,0.000622
изнашиваться,89,0.000823
изнутри,13,0.000481
изнутри,20,0.000574
изнутри,23,0.000562
изнутри,27,0.000517
изнутри,38,0.000618
изнутри,55,0.00058
изнутри,91,0.000559
изнывать,3,0.000614
изображать,15,0.000545
изображать,16,0.000621
изображение,1,0.001116
изображение,12,0.00066
изображение,13,0.000481
изображение,18,0.000607
изображение,2,0.000587
изображение,22,0.002711
изображение,24,0.00057
изображение,33,0.0016
изображение,37,0.000778
изображение,44,0.000626
изображение,45,0.038161
изображение,56,0.000528
изображение,57,0.001073
изображение,66,0.001464
изображение,7,0.000608
изображение,71,0.000633
изображение,8,0.000975
изображение,84,0.000525
изображение,90,0.002308
изображение,91,0.000559
изображение,94,0.001751
изображение,97,0.000518
изображение,98,0.00265
изобразить,16,0.000311
изобрести,15,0.000545
изобрести,22,0.000542
изобретатель,53,0.000625
изобретательно,84,0.000525
изобретательность,83,0.001425
изобретение,15,0.000545
изобретение,53,0.00125
изобретение,90,0.000577
изобретение,95,0.001269
изогнутый,79,0.00051
изолента,92,0.000988
изолированно,51,0.000462
изолировать,47,0.001712
изолировать,5,0.000497
изолятор,85,0.000562
изолятор,87,0.000428
изоляция,17,0.000804
изоляция,23,0.001124
изоляция,25,0.000612
изоляция,30,0.000592
изоляция,33,0.000533
изоляция,55,0.00058
изоляция,85,0.000562
изоляция,88,0.002361
изоляция,9,0.000564
изощрённость,47,0.000856
израиль,93,0.000758
израильский,49,0.000493
изрядный,25,0.000612
изтта,76,0.000546
изумление,48,0.000746
изумрудный,69,0.000307
изучать,1,0.001116
изучать,12,0.00066
изучать,19,0.002505
изучать,20,0.001149
изучать,21,0.002452
изучать,24,0.001709
изучать,25,0.000612
изучать,28,0.000509
изучать,36,0.001366
изучать,43,0.001244
изучать,48,0.001491
изучать,49,0.000493
изучать,53,0.000625
изучать,55,0.00116
изучать,56,0.000528
изучать,57,0.000536
изучать,63,0.000494
изучать,67,0.000228
изучать,8,0.001949
изучать,80,0.001738
изучать,82,0.000598
изучать,84,0.000525
изучать,85,0.000562
изучать,86,0.000463
изучать,87,0.000855
изучаться,81,0.001057
изучение,27,0.000517
изучение,45,0.001735
изучение,55,0.00058
изучение,68,0.000924
изучение,85,0.002812
изучение,86,0.000463
изучение,91,0.000559
изучить,12,0.00066
изучить,21,0.000613
изучить,22,0.000542
изучить,27,0.000517
изучить,34,0.000559
изучить,40,0.000525
изучить,52,0.000503
изучить,63,0.000494
изучить,67,0.000457
изучить,81,0.001057
изучить,90,0.000577
изъятие,37,0.000778
изъять,42,0.001019
изъять,61,0.000244
изъять,63,0.000494
изысканный,67,0.000685
изюм,20,0.001149
изюминка,67,0.000228
изящество,67,0.000228
изящный,55,0.00058
изящный,84,0.000525
иит,61,0.000244
ииц,61,0.000244
иишка,92,0.000988
иишность,51,0.000462
иишность,97,0.000518
иконка,99,0.001797
икс,76,0.001638
икт,24,0.00057
ил,35,0.002174
иллинойс,49,0.000493
иллинойс,85,0.000562
иллюзионист,63,0.000494
иллюзия,26,0.001544
иллюзия,27,0.000517
иллюзия,36,0.000455
иллюзорный,79,0.00051
иллюминатор,35,0.001087
иллюстрация,13,0.000481
иллюстрация,37,0.000389
иллюстрация,71,0.000317
иллюстрация,87,0.000428
иллюстрация,95,0.000635
илона,15,0.000545
илона,23,0.001124
илона,34,0.000559
илона,38,0.001237
илона,63,0.001482
илона,87,0.000855
ильнур,1,0.000558
ильнур,27,0.001033
ильнур,33,0.000533
ильнур,52,0.000503
ильнур,57,0.000536
илья,27,0.000517
илья,31,0.000554
илья,68,0.000924
ильяхов,34,0.000559
ильяхов,97,0.000518
имейл,63,0.000494
именно,1,0.001116
именно,11,0.006865
именно,12,0.00066
именно,13,0.001443
именно,14,0.002252
именно,15,0.001635
именно,16,0.002485
именно,17,0.003215
именно,18,0.000607
именно,19,0.000626
именно,2,0.002349
именно,20,0.001149
именно,21,0.004905
именно,22,0.002169
именно,23,0.001124
именно,24,0.00114
именно,25,0.002448
именно,26,0.001544
именно,27,0.00155
именно,28,0.002035
именно,29,0.000627
именно,3,0.001843
именно,30,0.000592
именно,31,0.001108
именно,32,0.000684
именно,33,0.001067
именно,34,0.001118
именно,35,0.001087
именно,36,0.001821
именно,38,0.000618
именно,4,0.002304
именно,40,0.000525
именно,41,0.001318
именно,43,0.000622
именно,46,0.000592
именно,47,0.000856
именно,48,0.000746
именно,49,0.002464
именно,5,0.000497
именно,50,0.001404
именно,51,0.001848
именно,52,0.006036
именно,53,0.00125
именно,54,0.000544
именно,55,0.00232
именно,57,0.002146
именно,67,0.00137
именно,68,0.000924
именно,69,0.000614
именно,73,0.001462
именно,76,0.000546
именно,8,0.001462
именно,80,0.001738
именно,81,0.001057
именно,82,0.000598
именно,83,0.004274
именно,84,0.000525
именно,85,0.001687
именно,86,0.000926
именно,87,0.000855
именно,88,0.001073
именно,89,0.002469
именно,90,0.001731
именно,91,0.002237
именно,92,0.001976
именно,93,0.001515
именно,94,0.003503
именно,96,0.0013
именно,97,0.001037
именно,98,0.001767
именно,99,0.000898
иметь,10,0.000955
иметь,11,0.002288
иметь,12,0.00066
иметь,13,0.000481
иметь,15,0.000545
иметь,16,0.001243
иметь,18,0.000607
иметь,19,0.000626
иметь,20,0.000574
иметь,24,0.00057
иметь,25,0.000612
иметь,28,0.001017
иметь,31,0.001108
иметь,37,0.002724
иметь,41,0.000439
иметь,42,0.002039
иметь,43,0.000622
иметь,44,0.001252
иметь,45,0.017346
иметь,46,0.000592
иметь,47,0.000856
иметь,48,0.000746
иметь,5,0.000994
иметь,51,0.000462
иметь,53,0.000625
иметь,57,0.000536
иметь,6,0.00102
иметь,60,0.001898
иметь,66,0.000732
иметь,68,0.003697
иметь,7,0.000608
иметь,70,0.002362
иметь,71,0.000633
иметь,72,0.003238
иметь,74,0.005656
иметь,75,0.000622
иметь,77,0.000951
иметь,79,0.001531
иметь,8,0.000975
иметь,80,0.000579
иметь,82,0.000598
иметь,83,0.001425
иметь,84,0.002627
иметь,85,0.000562
иметь,86,0.00139
иметь,87,0.000428
иметь,88,0.001502
иметь,89,0.005761
иметь,91,0.001678
иметь,93,0.001515
иметь,95,0.000635
иметь,97,0.000518
иметь,98,0.000883
иметься,100,0.00092
иметься,26,0.000772
иметься,44,0.000626
иметься,45,0.001735
иметься,53,0.000625
иметься,60,0.000949
иметься,84,0.000525
иметься,86,0.000463
иметься,95,0.000635
имитация,88,0.000215
имитировать,100,0.00184
имитировать,27,0.000517
иммерсивный,90,0.000577
иммутабельный,48,0.000746
империя,67,0.000228
имплантат,95,0.000635
имплантация,61,0.000488
импорт,16,0.000621
импорт,26,0.000772
импорт,37,0.000389
импорт,61,0.000731
импорт,67,0.000228
импорт,73,0.001462
импорт,9,0.000564
импортный,29,0.000627
импортный,35,0.003261
импортный,87,0.000428
импортозаместить,13,0.000481
импортозаместить,23,0.000562
импортозамещающий,62,0.000898
импортозамещение,17,0.001608
импортозамещение,23,0.000562
импортозамещение,29,0.000627
импортозамещение,35,0.002174
импортозамещение,62,0.000898
импортозамещение,82,0.000598
импортозамещение,88,0.000644
импортозамещить,35,0.001087
импортонезависимый,12,0.00066
импортёр,29,0.000627
импортёр,67,0.000457
импортёр,88,0.000215
импровизировать,99,0.000898
импульс,21,0.000613
импульсный,40,0.00105
имущественный,37,0.000389
имущественный,72,0.000405
имущество,39,0.001212
имущество,5,0.000497
имущество,60,0.001898
имущество,61,0.000244
имущество,72,0.000809
имхо,88,0.000429
имхо,92,0.000988
имя,1,0.000558
имя,10,0.00382
имя,100,0.0046
имя,13,0.000962
имя,15,0.001635
имя,2,0.000587
имя,21,0.001226
имя,23,0.001685
имя,24,0.00057
имя,25,0.000612
имя,28,0.000509
имя,29,0.000627
имя,31,0.001108
имя,37,0.001556
имя,40,0.000525
имя,41,0.000878
имя,42,0.001019
имя,44,0.002505
имя,48,0.000746
имя,56,0.000528
имя,63,0.001482
имя,66,0.001464
имя,69,0.000307
имя,71,0.000317
имя,72,0.000809
имя,74,0.001028
имя,75,0.003109
имя,8,0.000487
имя,82,0.000598
имя,83,0.002849
имя,84,0.000525
имя,96,0.001951
имя,99,0.000898
ин,95,0.000635
инаугурация,42,0.001019
иначе,11,0.001144
иначе,16,0.000311
иначе,17,0.000804
иначе,22,0.000542
иначе,26,0.000772
иначе,35,0.002174
иначе,38,0.000618
иначе,40,0.000525
иначе,41,0.000439
иначе,47,0.000856
иначе,51,0.000462
иначе,52,0.000503
иначе,70,0.000787
иначе,88,0.000644
иначе,9,0.000564
иначе,90,0.000577
иначе,96,0.00065
инбеть,76,0.001638
инвариант,11,0.001144
инвертироваться,9,0.000564
инвест,76,0.001638
инвестбанкир,63,0.000494
инвестдоход,58,0.001739
инвестирование,67,0.000457
инвестировать,17,0.001608
инвестировать,31,0.000554
инвестировать,42,0.001019
инвестировать,67,0.000228
инвестировать,88,0.000215
инвестировать,9,0.000564
инвестиционный,58,0.001739
инвестиционный,60,0.001898
инвестиционный,62,0.013477
инвестиционный,63,0.000988
инвестиционный,67,0.00137
инвестиционный,74,0.000514
инвестиция,14,0.000563
инвестиция,29,0.000627
инвестиция,31,0.000554
инвестиция,32,0.000684
инвестиция,33,0.000533
инвестиция,39,0.001212
инвестиция,42,0.001019
инвестиция,46,0.000592
инвестиция,51,0.000924
инвестиция,58,0.006087
инвестиция,59,0.001028
инвестиция,6,0.00051
инвестиция,60,0.002846
инвестиция,61,0.001706
инвестиция,62,0.008985
инвестиция,67,0.002512
инвестиция,73,0.000731
инвестиция,74,0.001542
инвестиция,80,0.000579
инвестиция,82,0.000598
инвестиция,87,0.000855
инвестиция,88,0.000429
инвестиция,89,0.000823
инвестор,32,0.000684
инвестор,41,0.001318
инвестор,51,0.000462
инвестор,6,0.00051
инвестор,60,0.002846
инвестор,61,0.000488
инвестор,62,0.008086
инвестор,67,0.001827
инвестор,73,0.001462
инвестор,82,0.000598
инвестор,88,0.000429
инвестор,93,0.00303
инвестполитик,62,0.000898
инвестпортфель,62,0.000898
ингосстрах,54,0.001088
ингосстрах,61,0.000975
ингредиент,61,0.000244
ингушетия,61,0.000488
индекс,16,0.000621
индекс,18,0.005464
индекс,25,0.000612
индекс,39,0.001212
индекс,51,0.000462
индекс,58,0.001739
индекс,60,0.002846
индекс,61,0.000488
индекс,73,0.000731
индекс,76,0.003821
индекс,94,0.000876
индексация,18,0.000607
индексация,91,0.000559
индексировать,16,0.000311
индексировать,86,0.000463
инди,31,0.000554
индивид,49,0.000493
индивид,6,0.00051
индивидуализация,71,0.000633
индивидуализировать,66,0.000732
индивидуально,58,0.00087
индивидуально,66,0.000732
индивидуальность,77,0.000951
индивидуальный,14,0.000563
индивидуальный,17,0.000804
индивидуальный,37,0.000389
индивидуальный,44,0.001879
индивидуальный,5,0.000497
индивидуальный,61,0.000488
индивидуальный,66,0.000732
индивидуальный,67,0.000228
индивидуальный,70,0.000787
индивидуальный,71,0.001583
индивидуальный,72,0.000405
индивидуальный,75,0.000622
индивидуальный,85,0.000562
индивидуальный,87,0.000428
индивидуальный,97,0.000518
индийский,58,0.00087
индийский,6,0.00051
индийский,93,0.000758
индикативный,39,0.001212
индикатор,30,0.000592
индикатор,31,0.000554
индикатор,41,0.000439
индикатор,52,0.000503
индикатор,9,0.001691
индия,59,0.001028
индия,60,0.000949
индия,61,0.000244
индия,62,0.000898
индия,63,0.000494
индия,64,0.001024
индия,65,0.001214
индия,67,0.000228
индия,68,0.000924
индия,69,0.000307
индия,70,0.000787
индия,73,0.003655
индия,86,0.000463
индия,88,0.000429
индия,9,0.000564
индус,88,0.000215
индустриальный,60,0.000949
индустрия,1,0.002232
индустрия,14,0.003378
индустрия,15,0.00218
индустрия,16,0.000932
индустрия,17,0.001608
индустрия,18,0.000607
индустрия,2,0.001762
индустрия,20,0.013211
индустрия,22,0.000542
индустрия,23,0.002809
индустрия,24,0.00057
индустрия,27,0.002066
индустрия,3,0.000614
индустрия,30,0.001775
индустрия,31,0.002216
индустрия,32,0.002052
индустрия,34,0.001677
индустрия,36,0.001366
индустрия,38,0.004329
индустрия,41,0.000439
индустрия,43,0.001244
индустрия,46,0.000592
индустрия,48,0.000746
индустрия,5,0.00149
индустрия,50,0.001404
индустрия,54,0.000544
индустрия,55,0.00174
индустрия,56,0.002113
индустрия,57,0.002146
индустрия,61,0.000488
индустрия,62,0.000898
индустрия,67,0.000913
индустрия,77,0.001901
индустрия,79,0.00051
индустрия,8,0.000487
индустрия,80,0.002897
индустрия,82,0.000598
индустрия,83,0.001425
индустрия,85,0.001125
индустрия,86,0.001853
индустрия,87,0.000428
индустрия,88,0.000859
индустрия,9,0.001127
индустрия,90,0.000577
индустрия,92,0.000988
индустрия,95,0.000635
индустрия,96,0.00065
индустрия,97,0.000518
индустрия,98,0.000883
инерция,16,0.000311
инерция,34,0.000559
инерция,88,0.000215
инет,91,0.000559
инженер,11,0.001144
инженер,12,0.00066
инженер,19,0.003131
инженер,2,0.000587
инженер,20,0.001723
инженер,27,0.00155
инженер,28,0.000509
инженер,3,0.001843
инженер,30,0.000592
инженер,31,0.000554
инженер,32,0.002052
инженер,33,0.001067
инженер,38,0.000618
инженер,4,0.002304
инженер,41,0.000439
инженер,54,0.000544
инженер,55,0.00058
инженер,56,0.001057
инженер,57,0.000536
инженер,6,0.00102
инженер,7,0.000608
инженер,78,0.002703
инженер,80,0.000579
инженер,82,0.000598
инженер,85,0.000562
инженер,86,0.001853
инженер,87,0.001283
инженер,91,0.000559
инженер,95,0.000635
инженер,96,0.00065
инженерия,1,0.000558
инженерия,13,0.000481
инженерия,16,0.000932
инженерия,18,0.000607
инженерия,24,0.00057
инженерия,27,0.000517
инженерия,3,0.000614
инженерия,55,0.00174
инженерия,57,0.000536
инженерка,4,0.001152
инженерный,1,0.001116
инженерный,11,0.001144
инженерный,12,0.00066
инженерный,13,0.000962
инженерный,15,0.001635
инженерный,16,0.001243
инженерный,20,0.000574
инженерный,22,0.001085
инженерный,26,0.000772
инженерный,27,0.001033
инженерный,28,0.001017
инженерный,31,0.000554
инженерный,32,0.000684
инженерный,4,0.000576
инженерный,40,0.014181
инженерный,41,0.000439
инженерный,46,0.000592
инженерный,47,0.001712
инженерный,53,0.0025
инженерный,54,0.000544
инженерный,55,0.00174
инженерный,6,0.00102
инженерный,61,0.000488
инженерный,67,0.000457
инженерный,7,0.000608
инженерный,8,0.000487
инженерный,80,0.000579
инженерный,82,0.001794
инженерный,84,0.000525
инженерный,85,0.000562
инженерный,86,0.000926
инженерный,87,0.000428
инженерный,91,0.000559
инжиниринг,15,0.00109
инжиниринг,25,0.001224
инжиниринг,34,0.000559
инжиниринг,4,0.000576
инжиниринг,40,0.000525
инжиниринг,51,0.000924
инжиниринг,7,0.000608
инжиниринг,8,0.000487
инжиниринг,84,0.000525
инжиниринговый,61,0.000244
инжиниринговый,67,0.000228
инициал,13,0.000481
инициал,44,0.000626
инициализация,31,0.000554
инициализация,48,0.000746
инициализация,51,0.000462
инициатива,20,0.000574
инициатива,23,0.000562
инициатива,38,0.000618
инициатива,40,0.000525
инициатива,50,0.004213
инициатива,56,0.000528
инициатива,68,0.000924
инициатива,71,0.000317
инициатива,72,0.000405
инициатива,86,0.000463
инициатива,87,0.000428
инициатива,95,0.000635
инк,76,0.001092
инкертинг,61,0.000731
инлайна,12,0.00066
инлайна,52,0.000503
инна,44,0.001252
инна,70,0.000787
инна,71,0.000317
инновационность,77,0.000951
инновационный,2,0.000587
инновационный,61,0.000731
инновационный,62,0.000898
инновационный,67,0.000457
инновационный,77,0.000951
инновационный,91,0.000559
инновация,62,0.000898
инновация,73,0.000731
инновация,77,0.000951
инновация,84,0.000525
инновация,86,0.000463
инновация,9,0.000564
иннополис,29,0.000627
иной,1,0.000558
иной,13,0.000962
иной,15,0.000545
иной,16,0.000311
иной,18,0.000607
иной,25,0.000612
иной,37,0.009339
иной,41,0.000439
иной,44,0.00814
иной,45,0.000867
иной,47,0.003425
иной,49,0.000986
иной,5,0.000497
иной,57,0.001609
иной,58,0.001739
иной,60,0.002846
иной,63,0.000494
иной,66,0.000732
иной,67,0.000228
иной,68,0.001848
иной,71,0.004433
иной,72,0.007285
иной,74,0.009254
иной,77,0.000951
иной,78,0.001351
иной,79,0.00051
иной,83,0.001425
иной,85,0.000562
иной,86,0.000463
иной,88,0.000215
инопланетный,3,0.000614
инопланетянин,49,0.000493
инопланетянин,88,0.000429
иностранный,30,0.000592
иностранный,39,0.002424
иностранный,5,0.000994
иностранный,51,0.000924
иностранный,62,0.000898
иностранный,65,0.001214
иностранный,67,0.000228
иностранный,88,0.000644
иностранный,90,0.000577
иностранный,95,0.000635
иностранный,97,0.001037
инп,9,0.001127
инпад,76,0.000546
инсайд,41,0.000439
инсайт,22,0.000542
инсайт,33,0.000533
инсайт,38,0.000618
инсайт,43,0.000622
инсайт,46,0.000592
инсайт,57,0.000536
инсайт,7,0.000608
инспекция,5,0.000497
инст,34,0.000559
инст,97,0.000518
инсталлятор,25,0.000612
инсталлятор,92,0.000988
инсталляция,28,0.000509
инсталляция,4,0.000576
инсталляция,67,0.000228
инстанс,18,0.000607
инстанс,28,0.000509
инстанс,33,0.000533
инстанс,4,0.000576
инстанс,52,0.000503
инстанс,54,0.000544
инстанс,8,0.000487
инстанция,39,0.001212
институт,29,0.000627
институт,31,0.000554
институт,49,0.000493
институт,61,0.001219
институт,63,0.000494
институт,9,0.001127
институт,95,0.000635
институциональный,62,0.000898
инструктор,85,0.000562
инструкция,1,0.000558
инструкция,100,0.00276
инструкция,12,0.00066
инструкция,13,0.000481
инструкция,2,0.000587
инструкция,21,0.001839
инструкция,25,0.001836
инструкция,32,0.000684
инструкция,33,0.001067
инструкция,37,0.000389
инструкция,40,0.000525
инструкция,41,0.000439
инструкция,49,0.000493
инструкция,53,0.000625
инструкция,57,0.000536
инструкция,58,0.00087
инструкция,59,0.006166
инструкция,66,0.000732
инструкция,7,0.000608
инструкция,8,0.000975
инструкция,86,0.000463
инструкция,94,0.005254
инструмент,1,0.003348
инструмент,100,0.0046
инструмент,11,0.001144
инструмент,12,0.00264
инструмент,13,0.000481
инструмент,14,0.002252
инструмент,15,0.001635
инструмент,16,0.000311
инструмент,17,0.000804
инструмент,18,0.003643
инструмент,19,0.002505
инструмент,2,0.006459
инструмент,20,0.002298
инструмент,21,0.003679
инструмент,22,0.002711
инструмент,23,0.001685
инструмент,24,0.004558
инструмент,25,0.001836
инструмент,26,0.002317
инструмент,27,0.002583
инструмент,28,0.003561
инструмент,3,0.000614
инструмент,30,0.000592
инструмент,32,0.004104
инструмент,33,0.003733
инструмент,34,0.000559
инструмент,38,0.005566
инструмент,4,0.004032
инструмент,40,0.00105
инструмент,41,0.006588
инструмент,42,0.003058
инструмент,43,0.000622
инструмент,44,0.001252
инструмент,45,0.010408
инструмент,46,0.001185
инструмент,47,0.001712
инструмент,48,0.000746
инструмент,49,0.002464
инструмент,5,0.000994
инструмент,51,0.003235
инструмент,52,0.007545
инструмент,53,0.000625
инструмент,54,0.001631
инструмент,55,0.00232
инструмент,56,0.003698
инструмент,57,0.002682
инструмент,59,0.001028
инструмент,6,0.00051
инструмент,60,0.005693
инструмент,61,0.000975
инструмент,62,0.001797
инструмент,66,0.002196
инструмент,67,0.00137
инструмент,74,0.001028
инструмент,75,0.001866
инструмент,76,0.000546
инструмент,77,0.000951
инструмент,79,0.001531
инструмент,8,0.002437
инструмент,80,0.002317
инструмент,83,0.002849
инструмент,84,0.001051
инструмент,85,0.001687
инструмент,86,0.000926
инструмент,87,0.001283
инструмент,88,0.001288
инструмент,9,0.002818
инструмент,90,0.000577
инструмент,91,0.005593
инструмент,93,0.000758
инструмент,94,0.003503
инструмент,96,0.0013
инструмент,97,0.004666
инструмент,98,0.011484
инструмент,99,0.003594
инструментарий,28,0.000509
инструментарий,38,0.000618
инструментарий,4,0.000576
инструментировать,21,0.001226
инсулин,22,0.001085
инсульт,75,0.000622
инсульт,95,0.000635
интегральный,20,0.000574
интегральный,8,0.000975
интегратор,12,0.00066
интегратор,61,0.000244
интегратор,82,0.000598
интеграционный,78,0.002703
интеграционный,87,0.00171
интеграция,100,0.00184
интеграция,12,0.00132
интеграция,13,0.000962
интеграция,19,0.000626
интеграция,2,0.000587
интеграция,20,0.000574
интеграция,23,0.002809
интеграция,25,0.000612
интеграция,27,0.000517
интеграция,28,0.002035
интеграция,40,0.00105
интеграция,41,0.000439
интеграция,46,0.000592
интеграция,52,0.000503
интеграция,54,0.001088
интеграция,56,0.000528
интеграция,73,0.000731
интеграция,80,0.000579
интеграция,82,0.001196
интеграция,85,0.000562
интеграция,87,0.000428
интеграция,9,0.000564
интеграция,91,0.000559
интеграция,97,0.000518
интеграция,99,0.004492
интегрировать,100,0.00184
интегрировать,19,0.000626
интегрировать,22,0.000542
интегрировать,23,0.000562
интегрировать,29,0.001882
интегрировать,67,0.000228
интегрировать,7,0.000608
интегрировать,85,0.000562
интегрировать,87,0.000428
интегрировать,9,0.000564
интегрироваться,15,0.000545
интегрироваться,92,0.000988
интегрироваться,93,0.001515
интегрироваться,99,0.001797
интеллект,1,0.004464
интеллект,10,0.00191
интеллект,11,0.002288
интеллект,13,0.001443
интеллект,14,0.001126
интеллект,15,0.002725
интеллект,16,0.000932
интеллект,18,0.003036
интеллект,19,0.000626
интеллект,2,0.009395
интеллект,20,0.003446
интеллект,22,0.001085
интеллект,23,0.004494
интеллект,24,0.006268
интеллект,25,0.001836
интеллект,26,0.002317
интеллект,27,0.003616
интеллект,28,0.001017
интеллект,29,0.006901
интеллект,3,0.003686
интеллект,30,0.002959
интеллект,31,0.004986
интеллект,32,0.002736
интеллект,33,0.010667
интеллект,34,0.004472
интеллект,38,0.009276
интеллект,4,0.00288
интеллект,41,0.009662
интеллект,42,0.003058
интеллект,43,0.001866
интеллект,46,0.004739
интеллект,47,0.000856
интеллект,48,0.000746
интеллект,49,0.0069
интеллект,5,0.005464
интеллект,51,0.000462
интеллект,52,0.001006
интеллект,54,0.002719
интеллект,55,0.00116
интеллект,56,0.005811
интеллект,57,0.012876
интеллект,58,0.00087
интеллект,62,0.001797
интеллект,63,0.000494
интеллект,67,0.000228
интеллект,7,0.001824
интеллект,71,0.000317
интеллект,78,0.002703
интеллект,79,0.013783
интеллект,80,0.001159
интеллект,82,0.005383
интеллект,83,0.002849
интеллект,84,0.000525
интеллект,85,0.000562
интеллект,86,0.008337
интеллект,87,0.004703
интеллект,88,0.000429
интеллект,9,0.001691
интеллект,90,0.002308
интеллект,91,0.006152
интеллект,92,0.000988
интеллект,93,0.000758
интеллект,94,0.002627
интеллект,96,0.009103
интеллект,97,0.00311
интеллект,98,0.001767
интеллект,99,0.003594
интеллектуально,88,0.000215
интеллектуальный,14,0.000563
интеллектуальный,17,0.002412
интеллектуальный,30,0.000592
интеллектуальный,31,0.000554
интеллектуальный,37,0.001167
интеллектуальный,41,0.000439
интеллектуальный,49,0.000493
интеллектуальный,5,0.000497
интеллектуальный,54,0.000544
интеллектуальный,62,0.000898
интеллектуальный,67,0.000685
интеллектуальный,71,0.00095
интеллектуальный,74,0.002057
интеллектуальный,8,0.000487
интеллектуальный,85,0.000562
интеллектуальный,88,0.000215
интеллектуальный,97,0.000518
интенсив,71,0.0019
интенсивный,29,0.000627
интент,1,0.000558
интент,16,0.009941
интент,18,0.000607
интент,24,0.00057
интент,46,0.001777
интент,51,0.001386
интент,57,0.000536
интент,97,0.001555
интент,99,0.000898
интерактивный,19,0.000626
интерактивный,23,0.000562
интерактивный,24,0.00057
интерактивный,27,0.000517
интерактивный,36,0.000455
интерактивный,37,0.000389
интерактивный,56,0.000528
интерактивный,91,0.000559
интерактивный,98,0.00265
интервал,52,0.001006
интервал,71,0.00095
интервью,14,0.000563
интервью,20,0.001149
интервью,24,0.001709
интервью,27,0.005165
интервью,34,0.003913
интервью,4,0.000576
интервью,46,0.000592
интервью,56,0.000528
интервью,6,0.00051
интервью,61,0.006582
интервью,65,0.002427
интервью,67,0.00274
интервью,73,0.001462
интервью,77,0.000951
интервью,80,0.001159
интервью,82,0.000598
интервью,87,0.000428
интервью,90,0.001154
интерес,1,0.000558
интерес,12,0.00132
интерес,15,0.000545
интерес,18,0.000607
интерес,23,0.000562
интерес,27,0.002066
интерес,28,0.000509
интерес,34,0.000559
интерес,37,0.002724
интерес,44,0.004383
интерес,49,0.000493
интерес,51,0.000462
интерес,55,0.00116
интерес,63,0.000494
интерес,66,0.005124
интерес,67,0.000457
интерес,71,0.000317
интерес,72,0.001214
интерес,74,0.001028
интерес,79,0.00051
интерес,8,0.000975
интерес,82,0.000598
интерес,88,0.000429
интересно,14,0.000563
интересно,17,0.001608
интересно,24,0.00057
интересно,27,0.000517
интересно,38,0.001237
интересно,46,0.001185
интересно,49,0.000493
интересно,50,0.001404
интересно,53,0.00125
интересно,55,0.00116
интересно,56,0.000528
интересно,79,0.00051
интересно,80,0.000579
интересно,84,0.001051
интересно,85,0.000562
интересно,86,0.000926
интересно,88,0.000215
интересно,9,0.000564
интересно,91,0.000559
интересно,95,0.000635
интересно,96,0.00065
интересный,1,0.001116
интересный,100,0.00184
интересный,12,0.00066
интересный,14,0.001126
интересный,15,0.00327
интересный,19,0.000626
интересный,20,0.001149
интересный,21,0.000613
интересный,24,0.00057
интересный,25,0.000612
интересный,28,0.000509
интересный,3,0.001843
интересный,30,0.000592
интересный,34,0.001118
интересный,36,0.000911
интересный,4,0.000576
интересный,40,0.001576
интересный,41,0.000878
интересный,43,0.004353
интересный,45,0.002602
интересный,48,0.000746
интересный,5,0.000497
интересный,50,0.001404
интересный,51,0.000462
интересный,52,0.001006
интересный,53,0.00125
интересный,54,0.000544
интересный,55,0.00174
интересный,6,0.001531
интересный,62,0.000898
интересный,67,0.000685
интересный,7,0.001216
интересный,70,0.000787
интересный,71,0.000317
интересный,77,0.002852
интересный,8,0.000487
интересный,80,0.000579
интересный,82,0.000598
интересный,84,0.001051
интересный,85,0.000562
